amostra_id,idade_label,epsilon_t,pred_Ridge,erro_Ridge,pred_Random Forest,erro_Random Forest,pred_Gradient Boosting,erro_Gradient Boosting,pred_Extra Trees,erro_Extra Trees
0,12 h,0.0,32.30452495323388,32.30452495323388,0.21055555555555558,0.21055555555555558,17.272830023472437,17.272830023472437,0.09,0.09
0,1 dia,30.0,37.676166216117224,7.676166216117224,24.40660422910422,5.593395770895778,31.124778238944184,1.1247782389441845,27.441904761904755,2.5580952380952446
0,3 dias,-50.0,41.68071687916168,91.68071687916168,57.1604256854257,107.16042568542571,60.15050402004579,110.15050402004579,59.71738095238093,109.71738095238092
0,7 dias,-180.0,34.22219230597008,214.22219230597008,82.7876226551227,262.78762265512273,79.05798728826115,259.05798728826113,89.34142857142861,269.3414285714286
0,14 dias,-360.0,-83.88418253164734,276.11581746835265,-36.55594155844157,323.4440584415584,-49.41146381401584,310.58853618598414,-35.31642857142857,324.68357142857144
0,28 dias,-590.0,-199.2466352210583,390.75336477894166,-140.49494949494948,449.5050505050505,-165.03315399256564,424.96684600743436,-152.40857142857146,437.59142857142854
0,56 dias,-760.0,-333.0665222479813,426.9334777520187,-328.628373015873,431.371626984127,-297.3641181241818,462.6358818758182,-317.9433333333332,442.0566666666668
1,12 h,0.0,-50.2006896160658,50.2006896160658,-2.5462121212121214,2.5462121212121214,0.6562480272951543,0.6562480272951543,0.0,0.0
1,1 dia,40.0,-35.692494520557034,75.69249452055703,40.82613858363859,0.8261385836385884,19.56402696595585,20.43597303404415,34.53428571428574,5.465714285714263
1,3 dias,80.0,-19.81798751981654,99.81798751981654,90.91757936507938,10.917579365079376,34.22148156002439,45.77851843997561,77.4377777777778,2.5622222222222035
1,7 dias,120.0,-22.2416353888392,142.2416353888392,141.50123376623375,21.501233766233753,8.829508382613263,111.17049161738674,132.74083333333337,12.74083333333337
1,14 dias,-30.0,-146.10532131790208,116.10532131790208,-62.678043623043635,32.678043623043635,-134.53446590618992,104.53446590618992,-17.169523809523813,12.830476190476187
1,28 dias,-250.0,-268.1199545230082,18.119954523008175,-210.77888472638477,39.221115273615226,-265.5221192513062,15.522119251306208,-176.84166666666664,73.15833333333336
1,56 dias,-500.0,-405.933065947349,94.06693405265099,-382.56283910533915,117.43716089466085,-444.0987019321693,55.90129806783068,-347.2994047619046,152.7005952380954
2,12 h,-10.0,-30.237684375156093,20.237684375156093,0.9999603174603178,10.999960317460317,3.612556885463465,13.612556885463466,2.598333333333335,12.598333333333334
2,1 dia,0.0,-15.944973426670913,15.944973426670913,32.02970779220779,32.02970779220779,26.124637157057446,26.124637157057446,10.588333333333335,10.588333333333335
2,3 dias,10.0,-11.507942582370646,21.507942582370646,74.2985678210678,64.2985678210678,53.170820874129134,43.170820874129134,35.673333333333325,25.673333333333325
2,7 dias,30.0,-14.432442044849424,44.432442044849424,103.21017676767678,73.21017676767678,69.89075953564698,39.89075953564698,39.87666666666669,9.876666666666686
2,14 dias,-160.0,-135.3416830106613,24.658316989338687,-74.74369019869017,85.25630980130983,-75.21539812858579,84.78460187141421,-108.82857142857141,51.17142857142859
2,28 dias,-310.0,-252.55584839552307,57.44415160447693,-187.13965367965366,122.86034632034634,-194.05201185821673,115.94798814178327,-210.64833333333337,99.35166666666663
2,56 dias,-420.0,-385.1856180141678,34.8143819858322,-315.12609668109667,104.87390331890333,-317.68094956307436,102.31905043692564,-348.8283333333334,71.17166666666662
3,12 h,0.0,61.98606764356501,61.98606764356501,0.7966666666666665,0.7966666666666665,8.965291922009284,8.965291922009284,0.9666666666666669,0.9666666666666669
3,1 dia,-30.0,67.35770890644835,97.35770890644835,44.177460317460316,74.17746031746032,33.781462176311614,63.781462176311614,39.943333333333335,69.94333333333333
3,3 dias,-60.0,71.3622595694928,131.3622595694928,52.19007936507936,112.19007936507936,61.6011034934881,121.6011034934881,46.25333333333334,106.25333333333333
3,7 dias,-120.0,63.90373499630121,183.9037349963012,68.15228909978907,188.15228909978907,83.89915940414389,203.8991594041439,54.75666666666665,174.75666666666666
3,14 dias,-240.0,-54.20263984131621,185.79736015868377,-51.842932900432885,188.15706709956712,-41.56591432067349,198.4340856793265,-94.92833333333334,145.07166666666666
3,28 dias,-300.0,-169.5650925307272,130.4349074692728,-135.1240567765568,164.8759432234432,-159.69634166478133,140.30365833521867,-173.26309523809527,126.73690476190473
3,56 dias,-410.0,-303.3849795576502,106.61502044234982,-271.85170634920627,138.14829365079373,-298.09080002196663,111.90919997803337,-280.3133333333333,129.68666666666672
4,12 h,0.0,57.69781115611883,57.69781115611883,-0.06,0.06,23.522406421147245,23.522406421147245,0.0,0.0
4,1 dia,30.0,72.20600625162757,42.20600625162757,31.894790209790212,1.8947902097902123,42.43018535980796,12.430185359807957,33.73833333333333,3.7383333333333297
4,3 dias,60.0,88.08051325236812,28.08051325236812,78.60723304473305,18.60723304473305,69.32063939333361,9.320639393333607,76.31333333333333,16.313333333333333
4,7 dias,100.0,85.65686538334546,14.343134616654538,107.97737012987012,7.977370129870124,84.00971298212167,15.99028701787833,103.23333333333333,3.2333333333333343
4,14 dias,-110.0,-38.20682054571745,71.79317945428255,-55.17532828282829,54.82467171717171,-33.12188254884227,76.87811745115772,-64.40809523809524,45.59190476190476
4,28 dias,-290.0,-160.2214537508235,129.7785462491765,-158.42982323232326,131.57017676767674,-152.0477454947569,137.9522545052431,-170.85190476190473,119.14809523809527
4,56 dias,-400.0,-298.03456517516435,101.96543482483565,-307.36138916638924,92.63861083361076,-286.978440009052,113.02155999094799,-309.55000000000024,90.44999999999976
5,12 h,0.0,-40.20631378640141,40.20631378640141,0.0,0.0,-4.281962024180599,4.281962024180599,0.0,0.0
5,1 dia,-40.0,-25.91360283791623,14.08639716208377,-14.798937173937167,25.20106282606283,-25.853118650965527,14.146881349034473,-29.83000000000001,10.169999999999991
5,3 dias,-100.0,-21.47657199361599,78.52342800638401,-34.15197330447329,65.84802669552671,-57.47438911329819,42.52561088670181,-62.845,37.155
5,7 dias,-450.0,-24.40107145609477,425.59892854390523,-72.23984126984128,377.7601587301587,-96.81620144971956,353.18379855028047,-107.18666666666662,342.8133333333334
5,14 dias,-560.0,-145.31031242190664,414.68968757809336,-176.11322954822958,383.8867704517704,-196.8727004586769,363.1272995413231,-184.80333333333337,375.1966666666666
5,28 dias,-870.0,-262.5244778067684,607.4755221932317,-300.83446969696973,569.1655303030302,-298.89393656385397,571.1060634361461,-313.2483333333332,556.7516666666668
5,56 dias,-1000.0,-395.1542474254131,604.8457525745869,-482.98383477633485,517.0161652236652,-421.1226047785696,578.8773952214303,-474.36000000000007,525.6399999999999
6,12 h,0.0,-159.78933012527813,159.78933012527813,0.0,0.0,-29.237000752545246,29.237000752545246,0.0,0.0
6,1 dia,-50.0,-154.4176888623948,104.41768886239481,-54.63735431235434,4.63735431235434,-59.20412758913103,9.204127589131033,-38.780476190476186,11.219523809523814
6,3 dias,-130.0,-150.41313819935036,20.413138199350357,-120.07621212121214,9.923787878787863,-108.66937761539076,21.330622384609242,-85.54666666666661,44.45333333333339
6,7 dias,-290.0,-157.87166277254195,132.12833722745805,-191.06460456210453,98.93539543789547,-151.67059001234165,138.32940998765835,-138.40666666666658,151.59333333333342
6,14 dias,-450.0,-275.9780376101594,174.0219623898406,-285.3791991341992,164.6208008658008,-240.14823891625474,209.85176108374526,-244.3516666666668,205.6483333333332
6,28 dias,-580.0,-391.3404902995704,188.65950970042962,-403.6906998556999,176.3093001443001,-364.36323082239556,215.63676917760444,-351.8516666666666,228.14833333333343
6,56 dias,-760.0,-525.1603773264933,234.8396226735067,-499.87766233766246,260.12233766233754,-564.341436792398,195.65856320760201,-475.025,284.975
7,12 h,0.0,58.61211148101631,58.61211148101631,-1.3876298701298706,1.3876298701298706,22.804489051315784,22.804489051315784,0.41999999999999993,0.41999999999999993
7,1 dia,110.0,73.12030657652508,36.87969342347492,29.968866688866687,80.03113331113332,41.712267989976496,68.2877320100235,29.055476190476178,80.94452380952382
7,3 dias,190.0,88.99481357726557,101.00518642273443,82.39652625152627,107.60347374847373,68.60272202350215,121.39727797649785,72.44841269841271,117.55158730158729
7,7 dias,220.0,86.57116570824297,133.42883429175703,106.63728174603176,113.36271825396824,83.29179561229022,136.70820438770977,93.93785714285714,126.06214285714286
7,14 dias,-40.0,-37.292520220819966,2.7074797791800336,-71.037803030303,31.037803030302996,-33.839799918673734,6.160200081326266,-59.72119047619046,19.721190476190458
7,28 dias,-270.0,-159.30715342592606,110.69284657407394,-150.38599206349204,119.61400793650796,-152.76566286458836,117.23433713541164,-175.73000000000005,94.26999999999995
7,56 dias,-390.0,-297.12026485026684,92.87973514973316,-279.5808513708514,110.4191486291486,-286.978440009052,103.02155999094799,-283.1650000000001,106.83499999999992
8,12 h,0.0,-40.20631378640141,40.20631378640141,0.0,0.0,-4.281962024180599,4.281962024180599,0.0,0.0
8,1 dia,-90.0,-25.91360283791623,64.08639716208377,-14.798937173937167,75.20106282606284,-25.853118650965527,64.14688134903447,-29.83000000000001,60.16999999999999
8,3 dias,-250.0,-21.47657199361599,228.523428006384,-34.15197330447329,215.8480266955267,-57.47438911329819,192.52561088670183,-62.845,187.155
