amostra_id,idade_label,idade_dias,epsilon_t,epsilon_previsto,residuo,erro_absoluto,sinal_real,sinal_previsto
9,12 h,0.5,0.0,20.831721470677223,-20.831721470677223,20.831721470677223,estabilidade,expansao
9,1 dia,1.0,70.0,26.203362733560596,43.796637266439404,43.796637266439404,expansao,expansao
9,3 dias,3.0,150.0,30.20791339660508,119.79208660339492,119.79208660339492,expansao,expansao
9,7 dias,7.0,170.0,22.749388823413454,147.25061117658655,147.25061117658655,expansao,expansao
9,14 dias,14.0,-60.0,-95.35698601420398,35.35698601420398,35.35698601420398,retracao,retracao
9,28 dias,28.0,-260.0,-210.71943870361497,-49.28056129638503,49.28056129638503,retracao,retracao
9,56 dias,56.0,-270.0,-344.53932573053794,74.53932573053794,74.53932573053794,retracao,retracao
10,12 h,0.5,0.0,-142.57038491067624,142.57038491067624,142.57038491067624,estabilidade,retracao
10,1 dia,1.0,-40.0,-128.06218981516747,88.06218981516747,88.06218981516747,retracao,retracao
10,3 dias,3.0,-120.0,-112.18768281442696,-7.812317185573036,7.812317185573036,retracao,retracao
10,7 dias,7.0,-170.0,-114.61133068344961,-55.38866931655039,55.38866931655039,retracao,retracao
10,14 dias,14.0,-380.0,-238.4750166125125,-141.5249833874875,141.5249833874875,retracao,retracao
10,28 dias,28.0,-550.0,-360.48964981761856,-189.51035018238144,189.51035018238144,retracao,retracao
10,56 dias,56.0,-660.0,-498.3027612419594,-161.6972387580406,161.6972387580406,retracao,retracao
11,12 h,0.5,0.0,16.301462920651872,-16.301462920651872,16.301462920651872,estabilidade,expansao
11,1 dia,1.0,10.0,30.594173869137066,-20.594173869137066,20.594173869137066,expansao,expansao
11,3 dias,3.0,20.0,35.031204713437305,-15.031204713437305,15.031204713437305,expansao,expansao
11,7 dias,7.0,50.0,32.10670525095851,17.893294749041488,17.893294749041488,expansao,expansao
11,14 dias,14.0,-100.0,-88.80253571485338,-11.197464285146623,11.197464285146623,retracao,retracao
11,28 dias,28.0,-220.0,-206.01670109971514,-13.983298900284865,13.983298900284865,retracao,retracao
11,56 dias,56.0,-380.0,-338.64647071835986,-41.353529281640135,41.353529281640135,retracao,retracao
12,12 h,0.5,0.0,-45.90743678415116,45.90743678415116,45.90743678415116,estabilidade,retracao
12,1 dia,1.0,-50.0,-40.5357955212678,-9.4642044787322,9.4642044787322,retracao,retracao
12,3 dias,3.0,-150.0,-36.531244858223346,-113.46875514177665,113.46875514177665,retracao,retracao
12,7 dias,7.0,-270.0,-43.98976943141497,-226.01023056858503,226.01023056858503,retracao,retracao
12,14 dias,14.0,-370.0,-162.09614426903238,-207.90385573096762,207.90385573096762,retracao,retracao
12,28 dias,28.0,-480.0,-277.45859695844337,-202.54140304155663,202.54140304155663,retracao,retracao
12,56 dias,56.0,-650.0,-411.27848398536634,-238.72151601463366,238.72151601463366,retracao,retracao
13,12 h,0.5,10.0,-11.829416307902278,21.829416307902278,21.829416307902278,expansao,retracao
13,1 dia,1.0,0.0,2.678778787606518,-2.678778787606518,2.678778787606518,estabilidade,expansao
13,3 dias,3.0,20.0,18.55328578834701,1.4467142116529885,1.4467142116529885,expansao,expansao
13,7 dias,7.0,20.0,16.12963791932438,3.870362080675619,3.870362080675619,expansao,expansao
13,14 dias,14.0,-180.0,-107.7340480097385,-72.2659519902615,72.2659519902615,retracao,retracao
13,28 dias,28.0,-250.0,-229.7486812148446,-20.251318785155405,20.251318785155405,retracao,retracao
13,56 dias,56.0,-370.0,-367.56179263918546,-2.4382073608145447,2.4382073608145447,retracao,retracao
14,12 h,0.5,0.0,-176.84812595559356,176.84812595559356,176.84812595559356,estabilidade,retracao
14,1 dia,1.0,-60.0,-162.55541500710837,102.55541500710837,102.55541500710837,retracao,retracao
14,3 dias,3.0,-180.0,-158.11838416280813,-21.881615837191873,21.881615837191873,retracao,retracao
14,7 dias,7.0,-300.0,-161.0428836252869,-138.9571163747131,138.9571163747131,retracao,retracao
14,14 dias,14.0,-400.0,-281.95212459109877,-118.04787540890123,118.04787540890123,retracao,retracao
