faixa_wb,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
"(0.55, 0.63]",175,87.7122029478458,32.15333333333332,556.7516666666668,-138.0
"(0.54, 0.55]",518,45.51862719166291,21.455317460317538,457.0447619047619,-72.87644787644787
"(0.453, 0.51]",383,42.93580266484313,27.11309523809524,375.86833333333334,-107.2845953002611
"(0.51, 0.54]",371,39.676582060497154,21.653571428571297,396.63666666666666,-78.62533692722371
