faixa_dry_d1,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
"(12.5, 30.0]",280,54.18827692743764,19.318928571428565,457.0447619047619,11.714285714285714
"(-0.001, 10.0]",887,50.223655133229535,25.950000000000074,556.7516666666668,-141.52198421645997
"(10.0, 12.5]",280,37.04146115491651,22.674166666666675,247.13833333333335,-35.392857142857146
