amostra_id,idade_label,real,previsto
0,12 h,0.0,-21.70388418113106
0,1 dia,30.0,27.74038228359808
0,3 dias,50.0,76.52464238711909
0,7 dias,180.0,125.53201151502438
0,14 dias,360.0,125.44958374785156
0,28 dias,590.0,224.99166211483316
0,56 dias,760.0,348.86246038622335
1,12 h,0.0,113.04217445631896
1,1 dia,40.0,161.26264085291123
1,3 dias,80.0,211.9862330579856
1,7 dias,120.0,258.541331137199
1,14 dias,30.0,244.49117004200957
1,28 dias,250.0,343.28426094487986
1,56 dias,500.0,473.27056841643537
2,12 h,10.0,-38.12657383034937
2,1 dia,0.0,16.209105685772784
2,3 dias,10.0,59.810816556017684
2,7 dias,30.0,104.71208002312616
2,14 dias,160.0,100.80727670207716
2,28 dias,310.0,198.46529595925938
2,56 dias,420.0,323.78133447362404
3,12 h,0.0,-11.581282330072241
3,1 dia,30.0,37.86298413465693
3,3 dias,60.0,86.64724423817793
3,7 dias,120.0,135.65461336608323
3,14 dias,240.0,135.5721855989104
3,28 dias,300.0,235.11426396589198
3,56 dias,410.0,358.98506223728225
4,12 h,0.0,-33.62138228477701
4,1 dia,30.0,14.599084111815245
4,3 dias,60.0,65.32267631688958
4,7 dias,100.0,111.87777439610299
4,14 dias,110.0,97.82761330091355
4,28 dias,290.0,196.62070420378382
4,56 dias,400.0,326.6070116753393
5,12 h,0.0,-8.357696908422156
5,1 dia,40.0,45.97798260769994
5,3 dias,100.0,89.57969347794486
5,7 dias,450.0,134.48095694505335
5,14 dias,560.0,130.57615362400435
5,28 dias,870.0,228.23417288118657
5,56 dias,1000.0,353.5502113955513
6,12 h,0.0,34.99394588909118
6,1 dia,50.0,84.43821235382038
6,3 dias,130.0,133.22247245734135
6,7 dias,290.0,182.22984158524665
6,14 dias,450.0,182.1474138180738
6,28 dias,580.0,281.6894921850554
6,56 dias,760.0,405.5602904564457
7,12 h,0.0,-16.002850714821733
7,1 dia,110.0,32.21761568177058
7,3 dias,190.0,82.94120788684492
7,7 dias,220.0,129.49630596605832
7,14 dias,40.0,115.44614487086888
7,28 dias,270.0,214.23923577373915
7,56 dias,390.0,344.22554324529466
8,12 h,0.0,-8.357696908422156
8,1 dia,90.0,45.97798260769994
8,3 dias,250.0,89.57969347794486
8,7 dias,370.0,134.48095694505335
8,14 dias,500.0,130.57615362400435
8,28 dias,580.0,228.23417288118657
8,56 dias,740.0,353.5502113955513
9,12 h,0.0,-16.13413538430237
9,1 dia,70.0,33.310131080426856
9,3 dias,150.0,82.0943911839478
9,7 dias,170.0,131.1017603118531
9,14 dias,60.0,131.01933254468028
9,28 dias,260.0,230.56141091166188
9,56 dias,270.0,354.4322091830521
10,12 h,0.0,50.43674299738561
10,1 dia,40.0,98.6572093939779
10,3 dias,120.0,149.38080159905223
10,7 dias,170.0,195.93589967826563
10,14 dias,380.0,181.8857385830762
10,28 dias,550.0,280.67882948594644
10,56 dias,660.0,410.665136957502
11,12 h,0.0,-69.52660044044075
11,1 dia,10.0,-15.190920924318618
11,3 dias,20.0,28.410789945926297
11,7 dias,50.0,73.31205341303475
11,14 dias,100.0,69.40725009198576
11,28 dias,220.0,167.065269349168
11,56 dias,380.0,292.38130786353264
12,12 h,0.0,90.59135175163793
12,1 dia,50.0,140.0356182163671
12,3 dias,150.0,188.8198783198881
12,7 dias,270.0,237.82724744779338
12,14 dias,370.0,237.74481968062057
12,28 dias,480.0,337.2868980476021
12,56 dias,650.0,461.1576963189924
13,12 h,10.0,-11.801822037451075
13,1 dia,0.0,36.41864435914121
13,3 dias,20.0,87.14223656421555
13,7 dias,20.0,133.69733464342897
13,14 dias,180.0,119.64717354823952
13,28 dias,250.0,218.44026445110978
13,56 dias,370.0,348.4265719226653
14,12 h,0.0,-19.851575092032732
14,1 dia,60.0,34.48410442408942
14,3 dias,180.0,78.08581529433434
14,7 dias,300.0,122.98707876144285
14,14 dias,400.0,119.0822754403938
14,28 dias,530.0,216.74029469757608
14,56 dias,630.0,342.05633321194074
15,12 h,0.0,-12.815251157709895
15,1 dia,30.0,36.629015307019245
15,3 dias,70.0,85.41327541054028
15,7 dias,110.0,134.42064453844554
15,14 dias,20.0,134.33821677127276
15,28 dias,140.0,233.88029513825433
15,56 dias,370.0,357.75109340964457
16,12 h,0.0,-19.433915370047686
16,1 dia,60.0,28.786551026544572
16,3 dias,180.0,79.51014323161891
16,7 dias,300.0,126.06524131083233
16,14 dias,400.0,112.01508021564288
16,28 dias,530.0,210.80817111851314
16,56 dias,630.0,340.79447859006865
17,12 h,0.0,-47.232943471444116
17,1 dia,20.0,7.102736044678068
17,3 dias,40.0,50.704446914922954
17,7 dias,90.0,95.60571038203143
17,14 dias,30.0,91.70090706098244
17,28 dias,140.0,189.35892631816466
17,56 dias,360.0,314.6749648325293
18,12 h,0.0,48.82033966638727
18,1 dia,60.0,98.26460613111644
18,3 dias,100.0,147.04886623463744
18,7 dias,20.0,196.05623536254274
18,14 dias,130.0,195.97380759536992
18,28 dias,240.0,295.5158859623515
18,56 dias,360.0,419.3866842337418
19,12 h,0.0,-17.52225502849322
19,1 dia,30.0,30.698211368099038
19,3 dias,60.0,81.4218035731734
19,7 dias,100.0,127.97690165238681
19,14 dias,50.0,113.92674055719736
19,28 dias,190.0,212.7198314600676
19,56 dias,360.0,342.7061389316232
20,12 h,0.0,-31.29786545639422
20,1 dia,20.0,23.037814059727964
20,3 dias,60.0,66.63952492997286
20,7 dias,120.0,111.54078839708134
20,14 dias,20.0,107.63598507603233
20,28 dias,210.0,205.29400433321456
20,56 dias,360.0,330.6100428475792
21,12 h,0.0,20.56592027517337
21,1 dia,70.0,70.01018673990254
21,3 dias,160.0,118.79444684342357
21,7 dias,290.0,167.80181597132884
21,14 dias,380.0,167.71938820415602
21,28 dias,500.0,267.2614665711376
21,56 dias,620.0,391.1322648425278
22,12 h,0.0,-5.136519555753694
22,1 dia,60.0,43.08394684083859
22,3 dias,130.0,93.80753904591293
22,7 dias,250.0,140.36263712512635
22,14 dias,370.0,126.3124760299369
22,28 dias,480.0,225.10556693280716
22,56 dias,590.0,355.0918744043627
23,12 h,0.0,-20.149322527523623
23,1 dia,20.0,34.18635698859856
23,3 dias,70.0,77.78806785884343
23,7 dias,100.0,122.68933132595193
23,14 dias,200.0,118.78452800490288
23,28 dias,460.0,216.44254726208516
23,56 dias,580.0,341.7585857764499
