faixa_water_consumption,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
"(192.0, 219.6]",350,69.4439726242012,32.63416666666666,556.7516666666668,-137.2
"(185.76, 192.0]",357,45.300016562180424,26.013333333333208,396.63666666666666,-81.17647058823529
"(169.049, 184.8]",572,43.6322574206097,21.089047619047697,457.0447619047619,-68.72377622377623
"(184.8, 185.76]",168,27.72357851473923,17.74607142857149,119.14809523809527,-94.3452380952381
