faixa_cement_consumption,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
"(310.999, 336.0]",532,58.60553566681856,22.42250000000002,556.7516666666668,-83.1390977443609
"(370.0, 424.0]",315,48.0192442680776,28.9525,375.86833333333334,-109.01587301587301
"(343.0, 370.0]",404,40.9874047761919,24.17079365079354,396.63666666666666,-87.45049504950495
"(336.0, 343.0]",196,36.88566488500162,21.089345238095312,359.32797619047625,-93.16326530612245
