wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,idade_dias,idade_horas,cement,curing,local_ensaio,estado,regiao,idade_label,epsilon_t,amostra_id,epsilon_previsto,residuo,erro_absoluto,sinal_previsto
0.49,380,186.2,15.0,0.0,0.0,0.6,56.0,1344,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,56 dias,-410.0,3,-280.3133333333333,-129.68666666666672,129.68666666666672,retracao
0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,0.5,12,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,12 h,0.0,4,0.0,0.0,0.0,estabilidade
0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,1.0,24,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,1 dia,30.0,4,33.73833333333333,-3.7383333333333297,3.7383333333333297,expansao
0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,3.0,72,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,3 dias,60.0,4,76.31333333333333,-16.313333333333333,16.313333333333333,expansao
0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,7.0,168,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,7 dias,100.0,4,103.23333333333333,-3.2333333333333343,3.2333333333333343,expansao
0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,14.0,336,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,14 dias,-110.0,4,-64.40809523809524,-45.59190476190476,45.59190476190476,retracao
0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,28.0,672,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,28 dias,-290.0,4,-170.85190476190473,-119.14809523809527,119.14809523809527,retracao
0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,56.0,1344,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,56 dias,-400.0,4,-309.55000000000024,-90.44999999999976,90.44999999999976,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,0.5,12,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,12 h,0.0,5,0.0,0.0,0.0,estabilidade
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,1.0,24,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,1 dia,-40.0,5,-29.83000000000001,-10.169999999999991,10.169999999999991,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,3.0,72,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,3 dias,-100.0,5,-62.845,-37.155,37.155,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,7.0,168,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,7 dias,-450.0,5,-107.18666666666662,-342.8133333333334,342.8133333333334,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,14.0,336,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,14 dias,-560.0,5,-184.80333333333337,-375.1966666666666,375.1966666666666,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,28.0,672,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,28 dias,-870.0,5,-313.2483333333332,-556.7516666666668,556.7516666666668,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,56.0,1344,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,56 dias,-1000.0,5,-474.36000000000007,-525.6399999999999,525.6399999999999,retracao
0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,0.5,12,CP II E 40,Não informado,Não informado,ES,Sudeste,12 h,0.0,6,0.0,0.0,0.0,estabilidade
0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,1.0,24,CP II E 40,Não informado,Não informado,ES,Sudeste,1 dia,-50.0,6,-38.780476190476186,-11.219523809523814,11.219523809523814,retracao
0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,3.0,72,CP II E 40,Não informado,Não informado,ES,Sudeste,3 dias,-130.0,6,-85.54666666666661,-44.45333333333339,44.45333333333339,retracao
0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,7.0,168,CP II E 40,Não informado,Não informado,ES,Sudeste,7 dias,-290.0,6,-138.40666666666658,-151.59333333333342,151.59333333333342,retracao
0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,14.0,336,CP II E 40,Não informado,Não informado,ES,Sudeste,14 dias,-450.0,6,-244.3516666666668,-205.6483333333332,205.6483333333332,retracao
