local_ensaio,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
Campo,28,251.57119047619045,266.1958333333333,556.7516666666668,-326.07142857142856
Laboratório,432,51.99320307907114,27.985833333333325,442.0566666666668,-72.89351851851852
Não informado,980,41.218376373060046,21.502757936507955,457.0447619047619,-92.74489795918367
Obra,7,27.663265306122437,28.208333333333314,48.769047619047626,-92.85714285714286
