regiao,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
Sul,105,90.70215948601663,86.51333333333329,396.63666666666666,-1.9047619047619047
Sudeste,978,51.06106235817125,24.133333333333283,556.7516666666668,-96.68711656441718
Nordeste,203,33.424140170174645,23.06499999999997,264.23999999999995,-108.76847290640394
Centro Oeste,112,24.684454365079368,17.939880952380953,199.22500000000002,-97.32142857142857
Norte,49,22.071503887269184,17.29249999999999,88.40333333333336,-90.20408163265306
