idade_label,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
12 h,207,2.8434460547504026,0.0,164.805,0.0966183574879227
1 dia,207,28.07190246146768,16.281666666666652,245.5,11.594202898550725
3 dias,207,44.41208362088797,26.503333333333302,350.54166666666674,19.855072463768117
7 dias,207,61.31752703013573,30.12333333333332,480.7416666666667,15.748792270531402
14 dias,207,66.73586149626004,39.48166666666666,400.69666666666666,-105.7487922705314
28 dias,206,68.87014197102789,45.775833333333324,556.7516666666668,-224.2233009708738
56 dias,206,67.0176196255201,40.97071428571434,525.6399999999999,-358.59223300970876
