curing,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
56 dias ar 50% umidade,7,226.5769387755102,269.3414285714286,442.0566666666668,-272.85714285714283
7 dias úmida / 56 dias ar 50% umidade,1370,48.254165968864875,25.076507936507994,556.7516666666668,-91.37226277372262
Não informado,70,34.2637545351474,14.361428571428574,284.975,-72.42857142857143
