amostra_id,wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,cement,curing,local_ensaio,estado,regiao,epsilon_t,idade_label,idade_dias,idade_horas,epsilon_abs_t,sinal
4,0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,30.0,1 dia,1.0,24,30.0,expansao
4,0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,60.0,3 dias,3.0,72,60.0,expansao
4,0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,100.0,7 dias,7.0,168,100.0,expansao
4,0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-110.0,14 dias,14.0,336,110.0,retracao
4,0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-290.0,28 dias,28.0,672,290.0,retracao
4,0.55,337,185.35000000000002,12.5,0.0,5.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-400.0,56 dias,56.0,1344,400.0,retracao
5,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
5,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-40.0,1 dia,1.0,24,40.0,retracao
5,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-100.0,3 dias,3.0,72,100.0,retracao
5,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-450.0,7 dias,7.0,168,450.0,retracao
5,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-560.0,14 dias,14.0,336,560.0,retracao
5,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-870.0,28 dias,28.0,672,870.0,retracao
5,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-1000.0,56 dias,56.0,1344,1000.0,retracao
6,0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,CP II E 40,Não informado,Não informado,ES,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
6,0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,CP II E 40,Não informado,Não informado,ES,Sudeste,-50.0,1 dia,1.0,24,50.0,retracao
6,0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,CP II E 40,Não informado,Não informado,ES,Sudeste,-130.0,3 dias,3.0,72,130.0,retracao
6,0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,CP II E 40,Não informado,Não informado,ES,Sudeste,-290.0,7 dias,7.0,168,290.0,retracao
6,0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,CP II E 40,Não informado,Não informado,ES,Sudeste,-450.0,14 dias,14.0,336,450.0,retracao
6,0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,CP II E 40,Não informado,Não informado,ES,Sudeste,-580.0,28 dias,28.0,672,580.0,retracao
6,0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,CP II E 40,Não informado,Não informado,ES,Sudeste,-760.0,56 dias,56.0,1344,760.0,retracao
7,0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
7,0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,110.0,1 dia,1.0,24,110.0,expansao
