idade_label,idade_dias,epsilon_t_previsto,sinal_previsto,faixa_mae_min,faixa_mae_max
12 h,0.5,49.67605456326311,expansao,-12.869028285575759,112.22113741210197
1 dia,1.0,45.209055834713524,expansao,-17.336027014125342,107.75413868355238
3 dias,3.0,27.341060920515304,expansao,-35.20402192832356,89.88614376935416
7 dias,7.0,46.454871681966466,expansao,-16.0902111668724,108.99995453080533
14 dias,14.0,-70.93291110757504,retracao,-133.4779939564139,-8.387828258736171
28 dias,28.0,-196.00887550696274,retracao,-258.5539583558016,-133.46379265812388
56 dias,56.0,-336.99520249582395,retracao,-399.54028534466283,-274.45011964698506
