amostra_id,idade_label,idade_dias,epsilon_t,epsilon_previsto,residuo,erro_absoluto,sinal_real,sinal_previsto
0,12 h,0.5,0.0,61.12359050846183,-61.12359050846183,61.12359050846183,estabilidade,expansao
0,1 dia,1.0,30.0,56.537590803863424,-26.537590803863424,26.537590803863424,expansao,expansao
0,3 dias,3.0,-50.0,65.34340662485502,-115.34340662485502,115.34340662485502,retracao,expansao
0,7 dias,7.0,-180.0,55.461501588684456,-235.46150158868446,235.46150158868446,retracao,expansao
0,14 dias,14.0,-360.0,-62.69840151569352,-297.3015984843065,297.3015984843065,retracao,retracao
0,28 dias,28.0,-590.0,-191.1063932444472,-398.8936067555528,398.8936067555528,retracao,retracao
0,56 dias,56.0,-760.0,-341.2461057329268,-418.7538942670732,418.7538942670732,retracao,retracao
1,12 h,0.5,0.0,-48.086449483474155,48.086449483474155,48.086449483474155,estabilidade,retracao
1,1 dia,1.0,40.0,-52.647075402294206,92.6470754022942,92.6470754022942,expansao,retracao
1,3 dias,3.0,80.0,-70.88957907757461,150.8895790775746,150.8895790775746,expansao,retracao
1,7 dias,7.0,120.0,-45.6504249477596,165.6504249477596,165.6504249477596,expansao,retracao
1,14 dias,14.0,-30.0,-171.22334929161667,141.22334929161667,141.22334929161667,retracao,retracao
1,28 dias,28.0,-250.0,-298.9208750185793,48.920875018579295,48.920875018579295,retracao,retracao
1,56 dias,56.0,-500.0,-455.7457613407034,-44.25423865929662,44.25423865929662,retracao,retracao
2,12 h,0.5,-10.0,29.38264044478143,-39.38264044478143,39.38264044478143,retracao,expansao
2,1 dia,1.0,0.0,26.204828110845654,-26.204828110845654,26.204828110845654,estabilidade,expansao
2,3 dias,3.0,10.0,13.493578775102492,-3.493578775102492,3.493578775102492,expansao,expansao
2,7 dias,7.0,30.0,36.52122313544541,-6.52122313544541,6.52122313544541,expansao,expansao
2,14 dias,14.0,-160.0,-56.41829257148507,-103.58170742851493,103.58170742851493,retracao,retracao
2,28 dias,28.0,-310.0,-194.81584954047753,-115.18415045952247,115.18415045952247,retracao,retracao
2,56 dias,56.0,-420.0,-323.3545286220921,-96.64547137790788,96.64547137790788,retracao,retracao
3,12 h,0.5,0.0,77.10993855321615,-77.10993855321615,77.10993855321615,estabilidade,expansao
3,1 dia,1.0,-30.0,72.86794578125287,-102.86794578125287,102.86794578125287,retracao,expansao
3,3 dias,3.0,-60.0,83.04978933278457,-143.04978933278457,143.04978933278457,retracao,expansao
3,7 dias,7.0,-120.0,75.91993975769438,-195.91993975769438,195.91993975769438,retracao,expansao
3,14 dias,14.0,-240.0,-37.423866289792926,-202.57613371020707,202.57613371020707,retracao,retracao
3,28 dias,28.0,-300.0,-156.19966390476526,-143.80033609523474,143.80033609523474,retracao,retracao
3,56 dias,56.0,-410.0,-287.0749881656822,-122.92501183431779,122.92501183431779,retracao,retracao
4,12 h,0.5,0.0,86.15117647051915,-86.15117647051915,86.15117647051915,estabilidade,expansao
4,1 dia,1.0,30.0,81.92883873798519,-51.92883873798519,51.92883873798519,expansao,expansao
4,3 dias,3.0,60.0,65.03948780784921,-5.039487807849213,5.039487807849213,expansao,expansao
4,7 dias,7.0,100.0,92.98494742795307,7.015052572046926,7.015052572046926,expansao,expansao
4,14 dias,14.0,-110.0,-27.851942307898497,-82.1480576921015,82.1480576921015,retracao,retracao
4,28 dias,28.0,-290.0,-146.07739881885016,-143.92260118114984,143.92260118114984,retracao,retracao
4,56 dias,56.0,-400.0,-283.95814670895237,-116.04185329104763,116.04185329104763,retracao,retracao
5,12 h,0.5,0.0,-25.336907094786,25.336907094786,25.336907094786,estabilidade,retracao
5,1 dia,1.0,-40.0,-28.900262836883144,-11.099737163116856,11.099737163116856,retracao,retracao
5,3 dias,3.0,-100.0,-43.153685805271635,-56.846314194728365,56.846314194728365,retracao,retracao
5,7 dias,7.0,-450.0,-23.21038871021935,-426.7896112897806,426.7896112897806,retracao,retracao
5,14 dias,14.0,-560.0,-121.5475121314084,-438.4524878685916,438.4524878685916,retracao,retracao
5,28 dias,28.0,-870.0,-270.740284528918,-599.259715471082,599.259715471082,retracao,retracao
5,56 dias,56.0,-1000.0,-420.86939446756696,-579.130605532433,579.130605532433,retracao,retracao
6,12 h,0.5,0.0,-86.02758012501089,86.02758012501089,86.02758012501089,estabilidade,retracao
6,1 dia,1.0,-50.0,-90.58851972193382,40.58851972193382,40.58851972193382,retracao,retracao
6,3 dias,3.0,-130.0,-81.68246347024069,-48.31753652975931,48.31753652975931,retracao,retracao
6,7 dias,7.0,-290.0,-91.36388764500809,-198.6361123549919,198.6361123549919,retracao,retracao
6,14 dias,14.0,-450.0,-209.17294924193044,-240.82705075806956,240.82705075806956,retracao,retracao
6,28 dias,28.0,-580.0,-336.8792579557729,-243.1207420442271,243.1207420442271,retracao,retracao
6,56 dias,56.0,-760.0,-485.6156044144301,-274.3843955855699,274.3843955855699,retracao,retracao
7,12 h,0.5,0.0,96.51432545196573,-96.51432545196573,96.51432545196573,estabilidade,expansao
7,1 dia,1.0,110.0,92.5268531201462,17.4731468798538,17.4731468798538,expansao,expansao
7,3 dias,3.0,190.0,76.5769637928681,113.4230362071319,113.4230362071319,expansao,expansao
7,7 dias,7.0,220.0,106.40134661868763,113.59865338131237,113.59865338131237,expansao,expansao
7,14 dias,14.0,-40.0,-11.147427507161467,-28.852572492838533,28.852572492838533,retracao,retracao
7,28 dias,28.0,-270.0,-122.79665279810823,-147.20334720189177,147.20334720189177,retracao,retracao
7,56 dias,56.0,-390.0,-247.5249382482006,-142.4750617517994,142.4750617517994,retracao,retracao
8,12 h,0.5,0.0,-25.336907094786,25.336907094786,25.336907094786,estabilidade,retracao
8,1 dia,1.0,-90.0,-28.900262836883144,-61.099737163116856,61.099737163116856,retracao,retracao
8,3 dias,3.0,-250.0,-43.153685805271635,-206.84631419472836,206.84631419472836,retracao,retracao
8,7 dias,7.0,-370.0,-23.21038871021935,-346.7896112897806,346.7896112897806,retracao,retracao
8,14 dias,14.0,-500.0,-121.5475121314084,-378.4524878685916,378.4524878685916,retracao,retracao
8,28 dias,28.0,-580.0,-270.740284528918,-309.259715471082,309.259715471082,retracao,retracao
8,56 dias,56.0,-740.0,-420.86939446756696,-319.13060553243304,319.13060553243304,retracao,retracao
9,12 h,0.5,0.0,16.976955682286047,-16.976955682286047,16.976955682286047,estabilidade,expansao
9,1 dia,1.0,70.0,12.879628077358035,57.120371922641965,57.120371922641965,expansao,expansao
9,3 dias,3.0,150.0,23.64013229703079,126.35986770296921,126.35986770296921,expansao,expansao
9,7 dias,7.0,170.0,17.667604058222736,152.33239594177726,152.33239594177726,expansao,expansao
9,14 dias,14.0,-60.0,-93.6508896507708,33.65088965077079,33.65088965077079,retracao,retracao
9,28 dias,28.0,-260.0,-208.37606258875567,-51.62393741124433,51.62393741124433,retracao,retracao
9,56 dias,56.0,-270.0,-331.15013749569766,61.15013749569766,61.15013749569766,retracao,retracao
10,12 h,0.5,0.0,-69.32999421065753,69.32999421065753,69.32999421065753,estabilidade,retracao
10,1 dia,1.0,-40.0,-73.57169524004965,33.57169524004965,33.57169524004965,retracao,retracao
10,3 dias,3.0,-120.0,-90.5384993576181,-29.461500642381907,29.461500642381907,retracao,retracao
10,7 dias,7.0,-170.0,-62.74794611237925,-107.25205388762075,107.25205388762075,retracao,retracao
